x_values,y_values,log_result,computation_time
[7.414007  3.7695053 2.6230788 2.071476 ],[8.6260195 4.587575  2.4682937 1.3046625],80.10334,0.47271823485692344
[8.429437 7.716478 5.770147 3.173497],[9.657864  9.2076645 3.600778  2.095191 ],168.47627,0.47271823485692344
[7.086148  4.9589844 3.9252934 3.747788 ],[8.738561  7.551818  7.4707565 7.186798 ],152.92578,0.47271823485692344
[9.430109  8.022507  5.772608  5.1984596],[8.844395  7.515884  3.4902122 2.9237833],169.61287,0.47271823485692344
[9.198793 9.182504 7.069828 6.119778],[2.552188  2.528312  2.1764212 1.697104 ],70.787636,0.47271823485692344
[9.9619465 7.860051  2.245531  1.0672934],[7.1133165 5.1541023 4.708967  2.5098271],114.08784,0.47271823485692344
[6.1987295 4.8819685 3.278894  2.580264 ],[8.47915  5.444962 4.267378 3.403376],94.8506,0.47271823485692344
[6.9794397 5.32951   3.3427153 1.5452727],[9.727605  7.7621913 7.736557  6.454742 ],138.81499,0.47271823485692344
[7.6042604 5.086976  4.052     2.9620175],[9.992596  9.006933  6.8474936 5.846428 ],159.61378,0.47271823485692344
[9.056263  7.442196  5.3151913 3.3825355],[9.7939625 5.3876038 5.227994  1.6098785],151.11127,0.47271823485692344
[4.684293  4.518006  3.6755023 2.9414215],[7.9711094 6.590188  6.5181227 5.2374473],104.31649,0.47271823485692344
[6.033128  4.174155  2.9588022 2.7682903],[9.884623  8.185147  1.9218849 1.1057681],92.88888,0.47271823485692344
[8.683582  3.1776211 3.1071124 2.2093523],[9.691833  9.482301  8.587509  1.7075914],136.94214,0.47271823485692344
[6.5582023 5.1581945 3.865684  2.2553716],[8.0100565 3.4547942 2.7637434 1.6483833],76.526955,0.47271823485692344
[5.6664996 5.634918  4.0528207 1.9961606],[7.694151  7.1286297 4.8318844 4.4013567],106.47294,0.47271823485692344
[4.5279512 3.619838  2.211235  1.0791466],[9.460722  8.8880625 5.3071504 2.1992328],80.125206,0.47271823485692344
[8.485048  7.168727  5.5316477 2.5586252],[6.051536  5.910171  1.9209965 1.4370209],99.104515,0.47271823485692344
[8.835577  8.59823   7.4072404 5.2913704],[9.388935  8.538221  8.093878  2.6221142],222.57602,0.47271823485692344
[9.734317  8.093787  2.3765063 2.2706513],[5.040369  4.0185003 1.9298435 1.7981321],80.63565,0.47271823485692344
[9.935242  6.211012  5.4768643 1.3028568],[8.328314  2.7586687 2.3219676 1.5573062],103.437515,0.47271823485692344
[8.954475  8.187545  6.7822227 6.200466 ],[7.9129763 6.175141  3.180109  2.044038 ],148.55183,0.47271823485692344
[6.163244  5.55768   5.1482983 2.1720996],[9.903232  9.2452755 4.257677  3.0389917],132.90343,0.47271823485692344
[9.651408  4.8806715 2.3048239 1.2596153],[8.61025   7.1714935 4.354435  1.5500138],116.91468,0.47271823485692344
[7.822807  7.4733386 6.657469  6.619512 ],[8.576467  7.632327  6.6493416 2.0153117],178.49094,0.47271823485692344
[8.87042   3.7269602 3.6373882 2.6755686],[9.297183  7.3109484 4.00051   2.5008903],121.52059,0.47271823485692344
[9.174188  8.489706  4.663757  2.0259578],[9.729796  6.2803974 5.8571553 2.4232187],163.45255,0.47271823485692344
[8.526621  8.470865  4.701604  3.4354062],[7.8469124 7.6498632 4.432601  2.6017036],151.44568,0.47271823485692344
[9.902047  8.14238   5.7624598 2.641953 ],[4.291135  3.9247751 3.4186926 2.6580687],95.920586,0.47271823485692344
[7.654225  6.554695  6.3539133 3.5595956],[8.185982  6.5688496 6.0432353 6.0391645],162.59358,0.47271823485692344
[5.0800853 3.4450898 3.1960115 1.1173263],[9.473433  7.941787  5.5144444 2.8015208],87.91254,0.47271823485692344
[6.2742767 5.265412  1.9895109 1.1670995],[5.6988955 4.241207  4.082118  1.8650167],61.910923,0.47271823485692344
[9.731255  5.736455  4.879712  3.7316968],[8.551896  8.088722  7.199693  7.0006423],186.70259,0.47271823485692344
[9.610415  2.377811  2.2750063 1.5183573],[9.409508  5.4223533 4.6504927 2.69913  ],107.67461,0.47271823485692344
