x_values,y_values,log_result,computation_time
"[8.526621  8.470865  8.407584  6.3073835 4.701604  4.4326706 3.6067982
 3.4354062]","[7.8469124 7.6498632 6.1272    5.0888386 4.432601  2.9908385 2.6017036
 1.3748891]",237.64871215820312,2.413830518722534
"[9.902047  8.14238   5.7624598 4.3646154 3.3108034 3.2528474 2.641953
 1.6196429]","[7.1936016 6.9051986 6.3190703 5.552034  4.291135  3.9247751 3.4186926
 2.6580687]",204.26434326171875,4.2697460651397705
"[8.875354  7.654225  6.554695  6.3539133 4.3866405 3.9485974 3.5595956
 2.4838443]","[8.185982  6.5688496 6.0432353 6.0391645 4.1465855 3.987867  3.688727
 1.913099 ]",229.09669494628906,3.743619203567505
"[8.718949  5.0800853 3.4450898 3.330093  3.1960115 1.6995716 1.1173263
 1.0485458]","[9.473433  8.05185   7.941787  5.5144444 4.7220287 4.225896  2.8015208
 2.0914865]",168.8935089111328,3.7494089603424072
"[6.7933097 6.2742767 5.265412  5.0882626 4.756912  2.0750628 1.9895109
 1.1670995]","[6.25095   5.6988955 5.5650234 4.241207  4.082118  2.6729484 1.8650167
 1.2899307]",138.39405822753906,3.3281819820404053
"[9.731255  7.4603076 7.235517  6.962598  5.736455  4.879712  3.7316968
 2.1637933]","[8.551896  8.142645  8.088722  7.572503  7.53838   7.199693  7.0006423
 6.2503715]",362.4939270019531,2.205796003341675
"[9.610415  6.567339  5.3684516 3.8405838 3.6339817 2.377811  2.2750063
 1.5183573]","[9.538107  9.409508  5.4223533 4.6504927 3.3108153 2.9584289 2.69913
 1.5076563]",193.55836486816406,2.414008855819702
"[9.053147  7.1932325 4.798539  4.6145945 3.512878  1.7451316 1.7229508
 1.2388636]","[9.057387  7.790797  7.790015  7.616955  6.5490956 6.1826963 5.782438
 1.5774903]",232.109619140625,3.435760736465454
"[7.4805818 7.192037  7.066016  5.938273  3.6898746 3.3629704 2.707356
 1.438008 ]","[9.603425  9.061585  8.286934  8.283474  7.698847  7.5858574 3.3377671
 2.8369646]",287.1718444824219,3.247230052947998
"[9.303301  8.122667  7.3232155 6.94102   5.0619383 3.6451473 3.2474015
 1.7846856]","[9.913056  9.736123  6.754939  5.415209  4.9365163 4.22787   3.3920777
 1.5169132]",279.8954162597656,2.9736440181732178
"[8.9808035 8.248451  7.384844  7.042573  6.8261013 5.507229  3.2010186
 3.010499 ]","[9.258464  8.955663  7.1455364 6.8767414 4.812317  4.5795584 4.563698
 3.2501364]",318.1591796875,3.1008989810943604
"[4.834747  4.684423  4.31537   3.300196  2.9572992 2.4390168 2.1953983
 1.9062583]","[9.946623  9.013304  6.9747987 5.817491  5.5229974 5.3064337 3.9696689
 2.839077 ]",167.23080444335938,2.935446262359619
"[9.979521  9.514918  7.6796103 6.630046  6.3999414 6.3613667 4.8203034
 2.6996503]","[8.471708  8.466547  8.165005  7.0024424 6.2465286 5.288953  3.1930418
 1.2718472]",338.248779296875,2.109224319458008
"[8.742439  7.569497  7.306239  5.5236945 5.08488   4.115424  2.7279692
 1.925184 ]","[9.885069  9.585122  7.9995956 7.5060596 7.4604263 4.1354766 2.668848
 2.2242846]",291.8050231933594,3.416520595550537
"[9.7545595 9.237543  8.1721325 7.610963  6.504942  6.2835355 5.8259473
 3.748893 ]","[7.1536    6.8671436 6.6245933 5.431672  5.348581  4.755041  1.5702838
 1.3746134]",286.41229248046875,4.387023210525513
"[9.698893  9.144558  9.007675  6.814822  5.2585154 2.7003326 2.6296854
 1.3795336]","[7.6034374 6.83356   4.121729  4.046219  3.2905345 1.3670431 1.2320937
 1.076782 ]",192.9912109375,3.6919021606445312
"[9.910186  8.737287  8.1298275 4.9178343 3.3118033 2.2275581 1.3928803
 1.2071674]","[8.931525  7.014373  3.7920938 3.4642625 2.3163552 1.3718561 1.2910293
 1.1226606]",171.24732971191406,4.086086273193359
"[9.43926   8.590971  8.484928  8.425663  8.223524  6.8532495 4.706758
 3.3603215]","[9.010103  8.107168  8.00777   6.2997026 5.6811724 5.206974  3.1249285
 2.5095506]",356.88427734375,2.9792208671569824
"[9.70376   9.350805  8.910765  7.4538894 5.9807453 5.554366  4.676903
 1.4863027]","[9.011303  7.4468684 7.284303  5.8023396 5.3324533 2.905615  2.4629862
 1.0462252]",291.4978332519531,4.677342891693115
"[9.977608  8.587306  8.556984  6.79935   5.4788446 5.0647078 4.744336
 3.3604512]","[9.563654  9.35941   8.816617  8.430957  8.05482   5.3658733 5.043959
 1.0739034]",379.6311950683594,3.363476276397705
"[8.926414  8.345064  6.6430254 3.938005  3.5056853 2.9783897 2.2672782
 1.5723662]","[9.112227  8.8338785 8.709907  8.538028  5.6024227 5.4786067 4.487403
 2.6944652]",268.3898620605469,3.3005530834198
"[8.887443  7.6692934 7.210404  6.3125367 6.0335355 4.9683323 3.9239576
 1.6181751]","[9.831881  8.698849  8.16722   8.119793  8.094027  5.013479  4.9305973
 4.9292464]",343.7646179199219,2.9999146461486816
"[9.122568  6.0137944 5.668846  5.373887  5.317542  5.0462713 3.1034527
 2.7449818]","[9.313314  8.092339  6.5302067 4.507116  4.5007033 3.7442183 1.8996118
 1.6466913]",223.1636962890625,3.6889898777008057
"[7.288347  6.4514804 6.254958  5.639109  5.5328937 3.5714188 2.468634
 2.3825006]","[9.330799  9.062805  7.216366  5.426529  5.229308  3.8202376 2.7455053
 1.4409165]",228.67984008789062,3.8174848556518555
"[9.470295  9.448041  8.964633  6.5740747 2.9483085 2.839385  1.4475126
 1.1252817]","[9.184872  7.885585  7.7103515 5.7781105 4.9142604 2.3423095 1.2055978
 1.2043586]",246.10743713378906,3.5714309215545654
[9.959743 9.796832 9.132801 9.086721 8.128974 5.377288 5.013426 4.668007],"[9.2094755 9.183976  7.80264   7.5819135 6.4807634 5.905815  5.8578496
 3.1543512]",428.99041748046875,3.4072277545928955
"[9.008532  8.925111  7.455779  5.263693  5.0299945 3.5961604 2.778883
 1.7555493]","[8.9822    8.646936  7.141281  6.378149  4.48533   2.538071  1.5397356
 1.2810955]",243.27076721191406,3.197763442993164
"[8.918725  5.641576  4.3030405 4.1592236 3.9675584 2.1850665 1.8904237
 1.5677786]","[8.350334  7.376458  6.635069  6.1381855 5.5409517 3.2058153 3.011792
 2.811843 ]",184.29190063476562,2.5539941787719727
"[9.656597  8.85729   8.641061  7.270096  6.039275  5.6087594 5.265623
 3.9952216]","[7.767765  6.7253294 6.4975457 6.487466  3.9592898 2.6088715 2.4921074
 2.3154721]",275.9024658203125,2.7852206230163574
"[9.729074  9.297336  8.849607  8.102879  7.5898466 5.7844377 4.1975408
 3.4366517]","[7.685845  7.4304833 7.2278137 6.907528  5.3968863 3.668386  1.5331695
 1.4971067]",306.8536376953125,2.4489223957061768
"[9.857884  8.249231  7.123098  4.7573776 3.7125952 3.4049008 2.7898896
 1.4394209]","[6.8573813 6.8369374 3.776392  3.5437748 3.5229545 2.4289436 2.0569963
 1.0059663]",168.09732055664062,3.13173508644104
"[7.8893547 7.8088145 4.7075114 3.726017  2.805924  2.769021  2.5375056
 2.0282087]","[6.9536524 6.905953  6.448805  4.748161  4.5477066 2.0986028 1.60014
 1.3900919]",159.13807678222656,2.4930906295776367
"[9.971902  8.790267  7.388276  6.6748548 5.8432703 5.389377  4.62073
 2.4648552]","[9.415868  7.5070896 6.444352  4.704503  3.537682  2.7749915 2.5922687
 1.0768367]",256.88177490234375,4.34485936164856
"[9.074282  4.642591  4.0849085 4.019453  2.3312306 1.9430679 1.7798308
 1.0655425]","[9.965238  7.6039314 5.5506067 5.2202134 4.790091  4.1020455 3.9536142
 1.1349838]",169.60910034179688,4.088699817657471
