x_values,y_values,log_result,computation_time
"[9.420219  8.538241  7.9242725 7.345463  6.4659677 5.4255514 4.0264106
 1.5496233]","[9.975043  9.911838  9.460174  8.071711  3.7517726 2.6984928 1.7922173
 1.745844 ]",323.2411193847656,0.00022459030151367188
"[9.914228  7.780386  7.004095  6.259508  5.470354  5.134962  2.9145222
 1.2075043]","[7.654673  6.6205916 5.8179393 5.481689  4.2987223 2.5234733 2.0593472
 1.4694284]",216.79647827148438,0.0002110004425048828
"[9.913347  8.256283  7.320239  7.191445  6.909462  4.0584755 2.8870702
 2.8818989]","[9.68013   9.49181   9.310747  6.8139067 6.1647277 5.2974634 1.6398377
 1.1735733]",328.3296813964844,0.00020432472229003906
"[8.992602  8.619928  8.431131  7.4863777 6.0151024 4.836017  3.1688976
 1.3970678]","[8.947286  7.124981  5.7314296 5.5160913 5.4972243 1.6096253 1.3185284
 1.1386187]",244.13345336914062,0.0001900196075439453
"[9.723064  9.335393  8.982607  7.5200443 6.914669  4.240444  3.4368715
 1.9081488]","[9.200369  8.884212  5.786702  4.1846952 3.4083266 3.2646642 2.8361983
 2.5306337]",277.0923156738281,0.00022172927856445312
"[8.793691  7.7657995 7.2563524 4.4831877 3.685948  3.11307   2.9156756
 2.3879175]","[9.393595  9.122023  8.933947  5.2661695 5.1916943 4.251452  3.056748
 2.1080356]",254.4247589111328,0.00018906593322753906
"[5.7076235 5.5290313 4.7360606 4.655147  3.1095188 2.4589725 2.233961
 2.0703108]","[9.8546    8.663402  7.396811  5.991269  5.3063917 5.1823545 1.5179056
 1.3704774]",179.7735595703125,0.00028014183044433594
"[8.86641   7.8079195 7.686735  7.2485642 4.9065905 4.440492  1.732625
 1.5349838]","[9.211534  8.836462  7.1684275 7.078319  4.3332195 4.0257764 2.5851564
 1.504428 ]",265.66131591796875,0.0002162456512451172
"[9.997059  8.660868  8.180444  7.933669  6.1024766 5.142376  2.7674792
 2.4981952]","[9.781863  9.450889  9.18396   7.479877  6.034812  5.29175   3.9441922
 1.512597 ]",356.3097229003906,0.000186920166015625
"[7.1626725 6.8779926 6.868198  4.066619  3.713873  1.5273931 1.1164197
 1.0561075]","[9.068403  7.3849974 5.615795  5.182739  4.0929174 3.9171243 3.5110562
 3.2155552]",179.48008728027344,0.00020074844360351562
"[8.868546  7.994849  7.771832  7.580002  6.8446493 6.795762  1.127701
 1.0346799]","[8.183471  7.728247  5.677201  5.4287157 4.058582  3.2525544 2.691267
 1.1018381]",246.6535186767578,0.0001995563507080078
"[8.348808  7.4001865 5.9807997 5.6640096 5.3693056 4.7987547 4.6201315
 3.0370562]","[9.5281725 9.280299  8.387335  7.4989142 7.472663  6.1114535 5.655564
 3.1707525]",327.1661376953125,0.00033092498779296875
"[9.791936  6.27576   5.97973   5.197362  4.9654517 4.56744   2.9254022
 1.8160567]","[6.391448  6.3309374 5.057915  4.851508  4.438299  2.7036812 2.3687968
 2.2805316]",184.12229919433594,0.00018835067749023438
"[9.382042  9.09493   7.8362136 7.0347095 6.0000014 4.988342  3.258036
 2.140059 ]","[8.305717  8.247599  5.9593368 4.7566    3.2473328 2.162465  2.088832
 1.6635549]",241.76837158203125,0.000202178955078125
"[9.387065  9.29509   9.069048  7.5743284 7.3393774 6.6935873 5.3659315
 1.6852078]","[6.4672294 6.060498  5.4286523 5.0974584 4.9289103 4.5444975 3.9759603
 1.4307241]",274.8764953613281,0.0002040863037109375
